COD_ETU,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
14000273,10,V,2,2018,7,AC,2,2019,10,V,2,2018,11.5,V,1,2017,10125,V,1,2017,11.5,V,1,2015,10021,V,2,2019,11015,V,1,2018,10,V,2,2017,18.5,V,1,2015,14.5,V,1,2015,11.8,V,1,2015,10,V,2,2018,12636,V,2,2018,,,,,,,,
14000545,10,V,2,2017,0,NRA,1,2019,5.1,NV,2,2019,11.25,V,1,2017,10,V,2,2017,11,V,1,2016,7892,NV,2,2019,10.5,V,1,2019,10,V,1,2019,0,NV,2,2019,14175,V,1,2018,0,NV,2,2019,,,,,,,1,2019,,,,,,,,
15000195,10,V,2,2017,10,V,2,2018,7,AC,2,2019,10,V,2,2019,10,V,2,2019,11.5,V,1,2016,9.75,AC,2,2019,11,V,1,2019,10,V,2,2017,10,V,1,2018,11.38,V,1,2018,12,V,1,2019,16,V,1,2019,11.73,V,1,2019,,,,,,,,
15000649,2.7,NRA,1,2019,7,NV,2,2019,10,V,2,2019,11.25,V,1,2017,10,V,2,2018,12,V,1,2016,8825,NV,2,2019,15.85,V,1,2019,10,V,1,2019,11,V,1,2016,13,V,1,2017,10,V,2,2016,16,V,1,2019,12642,V,1,2019,,,,,,,,
15000874,10,V,2,2018,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2018,0,NRA,1,2019,10,V,1,2016,5,NV,2,2019,,,,,,,,,10,V,2,2019,8,NV,2,2019,10,V,1,2019,,,,,,,1,2019,,,,,,,,
15000982,10,V,2,2019,7,AC,2,2019,7,AC,2,2019,10,V,2,2018,8.25,AC,2,2019,12,V,1,2018,9042,AC,2,2019,17.3,V,1,2019,15,V,1,2019,13,V,1,2019,15,V,1,2019,12,V,1,2019,16,V,1,2019,14717,V,1,2019,,,,,,,,
15001069,10,V,2,2019,10,V,2,2018,10,V,2,2019,17.5,V,1,2016,10,V,2,2017,13.5,V,1,2016,11833,V,2,2019,11.9,V,1,2019,14,V,1,2019,11,V,1,2019,15.6,V,1,2016,10.5,V,1,2016,12,V,1,2019,12.5,V,1,2019,,,,,,,,
15001074,10,V,2,2019,5.5,NV,2,2019,,,,,10,V,2,2018,10,V,2,2019,10,V,1,2019,,,1,2019,10.95,V,1,2019,7,AC,2,2019,11,V,1,2019,9,AC,2,2019,13,V,1,2019,10,V,1,2019,10158,V,2,2019,,,,,,,,
15001763,.9,NRA,1,2019,.6,NRA,1,2019,0,NRA,1,2019,10,V,2,2018,2.5,NRA,1,2019,10,V,1,2016,4,NV,2,2019,13.55,V,1,2019,10,V,1,2019,11,V,1,2019,,,,,11,V,1,2019,,,,,,,1,2019,,,,,,,,
15001773,10,V,2,2018,10,V,2,2017,10.1,V,1,2017,10,V,2,2017,8.5,AC,2,2018,11.5,V,1,2016,10017,V,2,2018,10365,V,1,2018,14,V,1,2019,10.1,V,1,2017,10,V,2,2018,11.5,V,1,2017,10,V,2,2018,10994,V,1,2019,,,,,,,,
15001977,10,V,2,2018,10,V,2,2018,7,AC,2,2019,10,V,2,2017,10625,V,1,2019,10,V,2,2016,9604,AC,2,2019,10.7,V,1,2019,14,V,1,2019,12.8,V,1,2017,15.75,V,1,2018,10.75,V,1,2017,16,V,1,2019,13333,V,1,2019,,,,,,,,
15004320,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2017,0,NRA,1,2019,10,V,2,2016,3333,NV,2,2019,0,NRA,1,2019,10,V,2,2016,12.5,V,1,2016,0,NRA,1,2019,11875,V,1,2016,0,NRA,1,2019,5729,NV,2,2019,,,,,,,,
15004538,3125,NRA,1,2019,10,V,2,2018,5.1,NV,2,2019,10,V,1,2017,8.25,NV,2,2019,10.5,V,1,2016,7829,NV,2,2019,10,V,1,2019,14,V,1,2019,10,V,1,2017,10,V,1,2017,10,V,2,2016,16,V,1,2019,11667,V,1,2019,,,,,,,,
15004586,.3,NRA,1,2019,10,V,2,2018,3.3,NRA,1,2019,10,V,2,2017,2.75,NRA,1,2019,12,V,1,2016,6392,NV,2,2019,10023,V,1,2018,0,NV,2,2019,10,V,2,2016,11.5,V,1,2017,11875,V,1,2016,0,NV,2,2019,7233,NV,2,2019,,,,,,,,
15004622,.525,NRA,1,2019,10,V,1,2017,10,V,2,2017,10.5,V,1,2017,10,V,2,2017,10,V,2,2016,8504,NV,2,2019,13145,V,1,2018,10,V,2,2017,10,V,1,2019,6,NV,2,2019,13,V,1,2017,10,V,2,2019,10358,NV,2,2019,,,,,,,,
15005607,3375,NRA,1,2019,0,NRA,1,2019,5.5,NV,2,2019,10,V,1,2016,4875,NRA,1,2019,10.5,V,1,2019,5708,NV,2,2019,,,,,,,,,,,,,,,,,9,NV,2,2019,,,,,,,1,2019,,,,,,,,
15005614,0,NRA,1,2019,,,,,1,NRA,1,2019,10.25,V,1,2017,,,,,11,V,1,2016,,,1,2019,0,NV,2,2019,0,NV,2,2019,11.5,V,1,2016,15.6,V,1,2016,10,V,2,2017,0,NV,2,2019,6183,NV,2,2019,,,,,,,,
15005633,10,V,2,2018,10,V,2,2018,7.9,AC,2,2019,10,V,2,2017,13375,V,1,2019,10.5,V,1,2017,10296,V,2,2019,11.93,V,1,2018,10,V,2,2017,12,V,1,2016,16.6,V,1,2017,10,V,1,2017,10,V,2,2018,11755,V,2,2018,,,,,,,,
15005797,10,V,2,2019,5.85,NV,2,2019,7,NV,2,2019,10.5,V,1,2018,6,NV,2,2019,10,V,2,2016,8225,NV,2,2019,,,,,,,,,13,V,1,2019,15,V,1,2019,12,V,1,2019,,,,,,,1,2019,,,,,,,,
15007511,11,V,1,2016,1.35,NRA,1,2019,0,NRA,1,2019,16.5,V,1,2016,0,NRA,1,2019,14,V,1,2016,7142,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,,,,,,,,
15008226,10,V,2,2017,7,NV,2,2019,2.05,NRA,1,2019,10,V,2,2017,6.5,NV,2,2019,10,V,1,2017,7592,NV,2,2019,9.1,NV,2,2019,8,NV,2,2019,10,V,1,2016,8,NV,2,2019,8,NV,2,2019,10,V,1,2019,8.85,NV,2,2019,,,,,,,,
16000364,10,V,2,2019,7.1,NV,2,2019,7.5,NV,2,2019,10,V,1,2018,10,V,2,2017,13,V,1,2017,9.6,NV,2,2019,10,V,2,2018,0,NRA,1,2019,10,V,2,2017,10.6,V,1,2017,0,NRA,1,2019,0,NRA,1,2019,5.1,NV,2,2019,,,,,,,,
16000611,10,V,2,2019,5,NV,2,2019,10,V,2,2019,10,V,2,2019,10125,V,1,2019,13.5,V,1,2017,9771,NV,2,2019,17425,V,1,2019,14,V,1,2019,11,V,1,2019,15,V,1,2019,11,V,1,2017,,,,,,,1,2019,,,,,,,,
16000616,10825,V,1,2018,8.85,AC,2,2019,10,V,2,2018,12,V,1,2018,7625,AC,2,2019,13.5,V,1,2017,10467,V,2,2019,15315,V,1,2018,12.88,V,1,2018,10,V,1,2018,16.1,V,1,2018,10.5,V,1,2017,10.9,V,1,2018,12616,V,1,2018,,,,,,,,
16000621,10,V,2,2018,0,NRA,1,2019,10,V,2,2018,10,V,2,2018,0,NRA,1,2019,13.5,V,1,2017,7.25,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,1,2018,11.9,V,1,2018,11,V,1,2017,0,NRA,1,2019,5483,NV,2,2019,,,,,,,,
16000658,10,V,2,2019,2.75,NRA,1,2019,10.15,V,1,2019,3.4,NRA,1,2019,8625,NV,2,2019,12.5,V,1,2017,7904,NV,2,2019,9.3,AC,2,2019,14,V,1,2019,11,V,1,2017,16.98,V,1,2018,13,V,1,2017,16,V,1,2019,13.38,V,2,2019,,,,,,,,
16000701,10,V,2,2018,7,AC,2,2019,10,V,2,2018,10,V,2,2019,10,V,2,2018,13,V,1,2017,10,V,2,2019,17.55,V,1,2019,14,V,1,2019,11,V,1,2018,12.6,V,1,2018,11.75,V,1,2017,12,V,1,2019,13.15,V,1,2019,,,,,,,,
16000747,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2018,0,NRA,1,2019,12,V,1,2017,3667,NV,2,2019,0,NV,2,2019,,,,,0,NV,2,2019,0,NV,2,2019,13.25,V,1,2017,,,,,,,1,2019,,,,,,,,
16000788,10,V,2,2018,10,V,2,2018,7,AC,2,2019,11,V,1,2018,9125,AC,2,2019,15,V,1,2017,10354,V,2,2019,11615,V,1,2018,10,V,2,2018,10,V,1,2018,14.53,V,1,2018,10,V,2,2017,7,AC,2,2018,10524,V,2,2018,,,,,,,,
16000792,0,NRA,1,2019,,,,,,,,,,,,,0,NRA,1,2019,10,V,1,2017,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019,,,,,,,,
16000805,7,AC,2,2019,7,AC,2,2019,10.1,V,1,2019,10,V,2,2018,13.25,V,1,2018,11.5,V,1,2017,9808,AC,2,2019,10.6,V,1,2019,17,V,1,2019,10,V,1,2019,7,AC,2,2019,10,V,1,2019,16,V,1,2019,11767,V,2,2019,,,,,,,,
16001180,10,V,2,2019,10,V,1,2019,10,V,2,2019,10,V,2,2018,10,V,1,2019,11.5,V,1,2017,10.25,V,2,2019,10,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,1,2017,16,V,1,2019,11,V,1,2019,,,,,,,,
16001201,10,V,2,2018,10,V,2,2018,7,AC,2,2019,10,V,2,2018,10,V,2,2019,14.5,V,1,2017,10.25,V,2,2019,10,V,2,2018,10.25,V,1,2018,12.5,V,1,2018,15.75,V,1,2018,8,AC,2,2018,10,V,2,2018,11083,V,2,2018,,,,,,,,
16001237,10,V,2,2019,7.95,AC,2,2019,10,V,1,2019,10,V,2,2018,10375,V,1,2019,13.5,V,1,2017,10304,V,2,2019,10,V,2,2018,8,AC,2,2019,12.4,V,1,2017,15.4,V,1,2018,12,V,1,2017,16,V,1,2019,12.3,V,2,2019,,,,,,,,
16001390,10.25,V,1,2018,2.05,NRA,1,2019,10.05,V,1,2017,11,V,1,2017,6.5,NV,2,2019,11,V,1,2017,8475,NV,2,2019,12.6,V,1,2019,12,V,1,2019,10,V,2,2017,12,V,1,2019,10,V,1,2017,16,V,1,2019,12.1,V,1,2019,,,,,,,,
16001403,4.35,NRA,1,2019,7.3,NV,2,2019,,,,,10,V,2,2018,10375,V,1,2019,11,V,1,2017,,,1,2019,15.35,V,1,2019,18,V,1,2019,10,V,2,2018,9,NV,2,2019,14,V,1,2019,,,,,,,1,2019,,,,,,,,
16001414,10,V,2,2018,1.35,NRA,1,2019,5,NV,2,2019,10,V,1,2017,6,NV,2,2019,11,V,1,2017,7225,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,16.6,V,1,2017,12.5,V,1,2017,0,NV,2,2019,4.85,NV,2,2019,,,,,,,,
16001481,10,V,2,2018,7,NV,2,2019,2.5,NRA,1,2019,10,V,1,2017,10,V,1,2019,14.5,V,1,2017,9,NV,2,2019,10,V,2,2018,18,V,1,2019,10,V,1,2018,10.5,V,1,2018,10,V,1,2019,16,V,1,2019,12417,V,1,2019,,,,,,,,
16001491,10,V,2,2018,12.62,V,1,2018,10.05,V,1,2019,12.25,V,1,2017,10,V,1,2019,14.5,V,1,2017,11.57,V,1,2019,15.24,V,1,2018,14.9,V,1,2018,14,V,1,2018,14.18,V,1,2018,14.5,V,1,2017,7.5,AC,2,2018,13387,V,2,2018,,,,,,,,
16001533,7,AC,2,2019,10.06,V,1,2018,10.05,V,1,2019,10,V,2,2018,13,V,1,2019,12,V,1,2017,10352,V,2,2019,10,V,2,2018,10,V,2,2018,11,V,1,2018,13.48,V,1,2018,10,V,2,2017,16,V,1,2019,11747,V,1,2019,,,,,,,,
16001542,.75,NRA,1,2019,.9,NRA,1,2019,1.6,NRA,1,2019,0,NRA,1,2019,3.5,NRA,1,2019,12.5,V,1,2017,3208,NV,2,2019,,,,,0,NV,2,2019,0,NV,2,2019,,,,,0,NV,2,2019,,,,,,,1,2019,,,,,,,,
16001637,7,NV,2,2019,2.75,NRA,1,2019,2.7,NRA,1,2019,6.5,NV,2,2019,10125,V,1,2019,10.5,V,1,2017,6596,NV,2,2019,13.1,V,1,2019,14,V,1,2019,10,V,2,2018,10,V,1,2019,,,,,,,,,,,1,2019,,,,,,,,
16001639,10,V,2,2018,7,AC,2,2019,7.3,AC,2,2019,10,V,2,2018,10375,V,1,2019,11.5,V,1,2018,9363,AC,2,2019,15425,V,1,2019,18,V,1,2019,11,V,1,2019,9,AC,2,2019,12,V,1,2019,16,V,1,2019,13571,V,2,2019,,,,,,,,
16001643,8.65,AC,2,2019,8.48,AC,2,2019,10,V,2,2017,10,V,2,2018,12875,V,1,2019,10,V,2,2017,10001,V,2,2019,9.8,AC,2,2019,14,V,1,2019,14.5,V,1,2019,17,V,1,2019,10,V,1,2019,16,V,1,2019,13.55,V,2,2019,,,,,,,,
16001653,10,V,2,2019,7.55,AC,2,2019,7.5,AC,2,2019,11,V,1,2018,12.25,V,1,2019,10.5,V,1,2017,9.8,AC,2,2019,10485,V,1,2018,7,AC,2,2019,10,V,1,2018,11,V,1,2019,10,V,2,2018,12,V,1,2019,10081,V,2,2019,,,,,,,,
16001713,10,V,2,2018,11.74,V,1,2018,7,AC,2,2018,10.25,V,1,2017,11.5,V,1,2017,10,V,1,2017,10082,V,2,2018,10.05,V,1,2018,10,V,2,2018,10,V,2,2018,13,V,1,2017,10,V,2,2018,16,V,1,2019,11508,V,1,2019,,,,,,,,
16001719,3.15,NRA,1,2019,10,V,2,2018,7,NV,2,2019,10,V,2,2018,10,V,2,2019,11,V,1,2017,8525,NV,2,2019,9.3,AC,2,2019,10,V,2,2019,10,V,1,2019,11.55,V,1,2018,11.25,V,1,2017,10,V,1,2019,10.35,V,2,2019,,,,,,,,
16001733,12625,V,1,2018,10,V,2,2017,10.1,V,1,2018,12.75,V,1,2018,8.25,AC,2,2018,11,V,1,2017,10788,V,2,2018,14.95,V,1,2019,14,V,1,2019,10,V,2,2018,11.73,V,1,2018,10,V,2,2018,16,V,1,2019,12.78,V,1,2019,,,,,,,,
16001787,10,V,2,2018,5.1,NV,2,2019,7,NV,2,2019,10,V,1,2017,10,V,2,2018,12.5,V,1,2017,9.1,NV,2,2019,10.4,V,1,2018,5,NV,2,2019,10,V,1,2018,14.18,V,1,2018,11.5,V,1,2017,3,NV,2,2019,9013,NV,2,2019,,,,,,,,
16001814,11.45,V,1,2019,10,V,2,2018,7.5,AC,2,2019,10,V,2,2017,10,V,2,2017,13.5,V,1,2017,10408,V,2,2019,11.75,V,1,2019,,,,,14.5,V,1,2019,10.68,V,1,2018,14,V,1,2019,,,,,,,1,2019,,,,,,,,
16001818,10,V,2,2019,10,V,2,2018,8.5,NV,2,2019,2.2,NRA,1,2019,7.5,NV,2,2019,10.5,V,1,2017,8117,NV,2,2019,10,V,2,2018,16,V,1,2019,10,V,2,2019,11.03,V,1,2018,10,V,2,2019,16,V,1,2019,12172,V,2,2019,,,,,,,,
16001824,0,NRA,1,2019,,,,,,,,,.6,NRA,1,2019,,,,,13,V,1,2017,,,1,2019,,,,,,,,,,,,,,,,,0,NV,2,2019,,,,,,,1,2019,,,,,,,,
16001835,10,V,2,2018,11.35,V,1,2019,11.1,V,1,2019,13.5,V,1,2019,10625,V,1,2019,10,V,1,2017,11096,V,1,2019,14.4,V,1,2019,12,V,1,2019,13,V,1,2019,17,V,1,2019,10,V,2,2018,16,V,1,2019,13733,V,1,2019,,,,,,,,
16001861,10,V,2,2019,,,,,10,V,2,2019,10,V,2,2019,11875,V,1,2019,10.5,V,1,2017,,,1,2019,7,AC,2,2019,10,V,1,2019,11,V,1,2019,13,V,1,2017,12,V,1,2019,10,V,1,2019,10.5,V,2,2019,,,,,,,,
16001867,10,V,2,2019,10,V,2,2018,7,NV,2,2019,10,V,2,2018,10.75,V,1,2019,10,V,1,2017,9625,NV,2,2019,,,,,13,V,1,2019,13,V,1,2019,10,V,2,2019,15,V,1,2019,16,V,1,2019,,,1,2019,,,,,,,,
16001876,,,,,,,,,8,NV,2,2019,10,V,2,2019,11.25,V,1,2019,10.5,V,1,2017,,,1,2019,,,,,,,,,10,V,2,2019,,,,,17,V,1,2019,,,,,,,1,2019,,,,,,,,
16001885,7,NV,2,2019,5,NV,2,2019,7.5,NV,2,2019,10,V,2,2017,10,V,2,2018,12.5,V,1,2017,8667,NV,2,2019,13325,V,1,2019,,,,,10,V,2,2019,15.58,V,1,2018,11.5,V,1,2017,,,,,,,1,2019,,,,,,,,
16001916,10,V,2,2017,10,V,2,2017,10,V,2,2018,11.75,V,1,2018,7,AC,2,2018,11.5,V,1,2017,10042,V,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2018,15.93,V,1,2018,14.25,V,1,2017,16,V,1,2019,12697,V,1,2019,,,,,,,,
16003615,9,AC,2,2018,10,V,2,2018,7.5,AC,2,2018,12,V,1,2018,10.25,V,1,2018,13.5,V,1,2017,10375,V,2,2018,16.1,V,1,2019,14,V,1,2019,10.5,V,1,2018,13,V,1,2019,10,V,1,2017,16,V,1,2019,13267,V,1,2019,,,,,,,,
16003799,7,NV,2,2019,5.1,NV,2,2019,7,NV,2,2019,10,V,2,2017,10,V,1,2019,10,V,1,2017,8183,NV,2,2019,15.1,V,1,2019,8,AC,2,2019,10,V,2,2019,7,AC,2,2019,10,V,2,2017,10,V,2,2019,10017,V,2,2019,,,,,,,,
16003812,10,V,2,2019,7,AC,2,2019,10,V,2,2018,10,V,2,2018,11.75,V,1,2019,10,V,1,2017,9792,AC,2,2019,13.55,V,1,2019,10,V,2,2018,10,V,2,2019,11.9,V,1,2018,12,V,1,2017,16,V,1,2019,12242,V,2,2019,,,,,,,,
16003889,10,V,2,2019,7,AC,2,2019,7.6,AC,2,2019,10,V,2,2017,8.25,AC,2,2019,14,V,1,2017,9475,AC,2,2019,10103,V,1,2018,14,V,1,2019,14.5,V,1,2019,13.83,V,1,2018,12.75,V,1,2017,16,V,1,2019,13531,V,1,2019,,,,,,,,
16005454,8.5,AC,2,2019,11.16,V,1,2018,10,V,2,2018,10,V,2,2018,10625,V,1,2019,10.5,V,1,2017,10131,V,2,2019,15.2,V,1,2019,14,V,1,2019,10,V,1,2017,13.65,V,1,2018,10.75,V,1,2017,16,V,1,2019,13267,V,1,2019,,,,,,,,
16005460,,,,,3.8,NRA,1,2019,5.1,NV,2,2019,17.25,V,1,2017,,,,,12,V,1,2017,,,1,2019,0,NV,2,2019,,,,,0,NV,2,2019,16.1,V,1,2018,14.25,V,1,2017,,,,,,,1,2019,,,,,,,,
16005470,4725,NRA,1,2019,5.95,NV,2,2019,7.5,NV,2,2019,10,V,2,2019,,,,,10.5,V,1,2017,,,1,2019,13.55,V,1,2019,14,V,1,2019,10,V,2,2018,15,V,1,2019,10.5,V,1,2017,16,V,1,2019,13175,V,1,2019,,,,,,,,
16005473,10,V,2,2019,7,AC,2,2019,10.05,V,1,2018,10,V,2,2017,10,V,1,2019,12.5,V,1,2017,9925,AC,2,2019,10,V,2,2018,15,V,1,2019,10,V,2,2018,11.55,V,1,2018,10,V,2,2019,16,V,1,2019,12092,V,2,2019,,,,,,,,
16005549,0,NRA,1,2019,10,V,2,2018,.75,NRA,1,2019,10,V,2,2017,0,NRA,1,2019,13,V,1,2017,5625,NV,2,2019,0,NV,2,2019,0,NV,2,2019,10,V,2,2017,11.38,V,1,2018,13,V,1,2017,0,NV,2,2019,5.73,NV,2,2019,,,,,,,,
16005932,,,,,,,,,,,,,,,,,6.5,NV,2,2019,11.5,V,1,2018,,,1,2019,,,,,,,,,,,,,,,,,0,NRA,1,2019,,,,,,,1,2019,,,,,,,,
16006053,0,NRA,1,2019,,,,,,,,,1.2,NRA,1,2019,,,,,13.5,V,1,2017,,,1,2019,0,NRA,1,2019,,,,,,,,,,,,,10,V,1,2017,,,,,,,1,2019,,,,,,,,
16008526,10,V,2,2018,10,V,2,2018,7.6,NV,2,2019,5.5,NV,2,2019,10,V,2,2018,12.5,V,1,2017,9267,NV,2,2019,10015,V,1,2018,10,V,1,2019,8.6,AC,2,2019,11.55,V,1,2018,10,V,2,2017,10,V,2,2019,10028,V,2,2019,,,,,,,,
16008527,10,V,2,2017,10,V,2,2018,10.1,V,1,2017,7,AC,2,2018,11125,V,1,2017,13.5,V,1,2017,10288,V,2,2018,10,V,2,2018,14,V,1,2019,11,V,1,2019,10,V,2,2019,10,V,1,2019,10,V,2,2019,10833,V,2,2019,,,,,,,,
17004799,7,AC,2,2019,7,AC,2,2019,10,V,2,2018,10.5,V,1,2018,9.25,AC,2,2019,11.5,V,1,2018,9208,AC,2,2019,14.5,V,1,2019,13,V,1,2019,10,V,1,2018,8,AC,2,2019,14,V,1,2019,16,V,1,2019,12583,V,2,2019,,,,,,,,
17004807,10,V,2,2019,7.7,AC,2,2019,10,V,1,2019,12,V,1,2019,10,V,2,2018,11.5,V,1,2018,10.2,V,2,2019,10.7,V,1,2019,10,V,1,2019,14.5,V,1,2019,15,V,1,2019,13,V,1,2019,12,V,1,2019,12533,V,1,2019,,,,,,,,
17004818,10.5,V,1,2019,8.2,AC,2,2019,10,V,2,2018,12.45,V,1,2019,10,V,2,2018,15.5,V,1,2018,11108,V,2,2019,14.2,V,1,2019,14,V,1,2019,10,V,1,2018,11,V,1,2019,17,V,1,2019,16,V,1,2019,13.7,V,1,2019,,,,,,,,
17004822,8.95,NV,2,2019,0,NRA,1,2019,14.95,V,1,2019,17.6,V,1,2019,7,NV,2,2019,0,NRA,1,2019,8083,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,,,,,,,,
17004828,10,V,2,2019,5,NV,2,2019,5.1,NV,2,2019,4.4,NRA,1,2019,11,V,1,2019,13,V,1,2018,8083,NV,2,2019,15.05,V,1,2019,,,,,10,V,2,2019,,,,,17,V,1,2019,,,,,,,1,2019,,,,,,,,
17005029,10,V,2,2019,10,V,2,2019,7,AC,2,2019,12.75,V,1,2018,11625,V,1,2019,11.5,V,1,2018,10479,V,2,2019,10.01,V,1,2018,12.5,V,1,2019,13.5,V,1,2018,15.93,V,1,2018,10,V,2,2019,16,V,1,2019,12.99,V,2,2019,,,,,,,,
17005032,13,V,1,2019,5.05,NV,2,2019,2.15,NRA,1,2019,10,V,2,2019,15.25,V,1,2019,13.5,V,1,2018,9825,NV,2,2019,13.65,V,1,2019,14,V,1,2019,10,V,2,2018,13,V,1,2019,10,V,2,2018,16,V,1,2019,12775,V,1,2019,,,,,,,,
17005048,10.15,V,1,2018,7,AC,2,2018,8.8,AC,2,2018,10,V,2,2018,10,V,2,2018,14.5,V,1,2018,10075,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,2,2019,3,NV,2,2019,8833,NV,2,2019,,,,,,,,
17005056,,,,,,,,,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,,,1,2019,,,,,,,,,0,NRA,1,2019,,,,,,,,,,,,,,,1,2019,,,,,,,,
17005059,,,,,,,,,,,,,17.48,V,1,2019,,,,,12,V,1,2019,,,1,2019,,,,,,,,,10,V,2,2019,,,,,16,V,1,2019,16,V,1,2019,,,1,2019,,,,,,,,
17005069,16.75,V,1,2019,10.96,V,1,2018,10,V,2,2018,13.5,V,1,2018,11642,V,1,2018,15,V,1,2018,12975,V,1,2019,10065,V,1,2018,13375,V,1,2018,13.5,V,1,2018,16625,V,1,2018,10,V,2,2018,8.5,AC,2,2018,12011,V,2,2018,,,,,,,,
17005072,4075,NRA,1,2019,3.65,NRA,1,2019,10,V,2,2019,4,NRA,1,2019,12.25,V,1,2019,10,V,1,2018,7329,NV,2,2019,12.6,V,1,2019,5,NV,2,2019,10,V,1,2018,13.13,V,1,2018,11,V,1,2019,10,V,1,2019,10288,NV,2,2019,,,,,,,,
17005117,10,V,2,2018,11.78,V,1,2018,10,V,2,2018,10.25,V,1,2018,10,V,2,2018,14,V,1,2018,11005,V,2,2018,15.4,V,1,2019,14,V,1,2019,13,V,1,2019,15.23,V,1,2018,14,V,1,2019,16,V,1,2019,14605,V,1,2019,,,,,,,,
17005120,11.85,V,1,2019,15.3,V,1,2019,10.2,V,1,2019,14,V,1,2019,15875,V,1,2019,15.5,V,1,2018,13788,V,1,2019,16.3,V,1,2019,18,V,1,2019,16,V,1,2019,14.18,V,1,2018,10.9,V,1,2018,12,V,1,2019,14563,V,1,2019,,,,,,,,
17005238,.3,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,.05,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019,,,,,,,,
17005272,16425,V,1,2019,14.15,V,1,2019,12,V,1,2019,12.05,V,1,2019,11.5,V,1,2019,10,V,1,2019,12688,V,1,2019,12.8,V,1,2019,16,V,1,2019,10,V,1,2019,13,V,1,2019,15,V,1,2019,16,V,1,2019,13.8,V,1,2019,,,,,,,,
17005323,15.9,V,1,2019,12.6,V,1,2018,10,V,2,2018,15.5,V,1,2018,10,V,2,2018,14.5,V,1,2018,13083,V,1,2019,13.89,V,1,2018,15925,V,1,2018,12.5,V,1,2018,15.4,V,1,2018,14.1,V,1,2018,9,AC,2,2018,13469,V,2,2018,,,,,,,,
17005331,10,V,2,2019,2,NRA,1,2019,5.5,NV,2,2019,4.3,NRA,1,2019,10,V,2,2018,12,V,1,2018,7.3,NV,2,2019,,,,,14,V,1,2019,,,,,,,,,19,V,1,2019,,,,,,,1,2019,,,,,,,,
17005340,9.1,NV,2,2019,5.05,NV,2,2019,11.7,V,1,2019,10,V,2,2018,10,V,1,2019,15,V,1,2018,10142,NV,2,2019,10,V,2,2018,10,V,2,2019,16,V,1,2019,13,V,1,2019,,,,,,,,,,,1,2019,,,,,,,,
17005367,11975,V,1,2019,12.1,V,1,2019,12.95,V,1,2018,10,V,2,2018,10,V,2,2018,14,V,1,2018,11838,V,1,2019,11.9,V,1,2019,15015,V,1,2018,11,V,1,2019,11,V,1,2019,14,V,1,2019,10,V,1,2018,12153,V,1,2019,,,,,,,,
